	value	expression
112	60	('/', 6, ('/', ('-', 2, 1), 10))
113	60	('/', 10, ('/', ('-', 2, 1), 6))
114	60	('/', ('*', 6, 10), ('-', 2, 1))
115	60	('/', ('*', 10, 6), ('-', 2, 1))
116	60	('*', 6, ('/', 10, ('-', 2, 1)))
117	60	('*', 6, ('*', 10, ('-', 2, 1)))
118	60	('*', 6, ('*', ('-', 2, 1), 10))
119	60	('*', 10, ('/', 6, ('-', 2, 1)))
120	60	('*', 10, ('*', 6, ('-', 2, 1)))
121	60	('*', 10, ('*', ('-', 2, 1), 6))
122	60	('*', ('/', 6, ('-', 2, 1)), 10)
123	60	('*', ('/', 10, ('-', 2, 1)), 6)
124	60	('*', ('-', 6, 1), ('+', 2, 10))
125	60	('*', ('-', 6, 1), ('+', 10, 2))
126	60	('*', ('-', 2, 1), ('*', 6, 10))
127	60	('*', ('-', 2, 1), ('*', 10, 6))
128	60	('*', ('+', 2, 10), ('-', 6, 1))
129	60	('*', ('+', 10, 2), ('-', 6, 1))
130	60	('*', ('*', 6, 10), ('-', 2, 1))
131	60	('*', ('*', 6, ('-', 2, 1)), 10)
132	60	('*', ('*', 10, 6), ('-', 2, 1))
133	60	('*', ('*', 10, ('-', 2, 1)), 6)
134	60	('*', ('*', ('-', 2, 1), 6), 10)
135	60	('*', ('*', ('-', 2, 1), 10), 6)
136	59	('-', 1, ('-', 2, ('*', 6, 10)))
137	59	('-', 1, ('-', 2, ('*', 10, 6)))
138	59	('-', ('+', 1, ('*', 6, 10)), 2)
139	59	('-', ('+', 1, ('*', 10, 6)), 2)
140	59	('-', ('+', ('*', 6, 10), 1), 2)
141	59	('-', ('+', ('*', 10, 6), 1), 2)
142	59	('-', ('*', 6, 10), ('-', 2, 1))
143	59	('-', ('*', 10, 6), ('-', 2, 1))
144	59	('+', 1, ('-', ('*', 6, 10), 2))
145	59	('+', 1, ('-', ('*', 10, 6), 2))
146	59	('+', ('-', 1, 2), ('*', 6, 10))
147	59	('+', ('-', 1, 2), ('*', 10, 6))
148	59	('+', ('-', ('*', 6, 10), 2), 1)
149	59	('+', ('-', ('*', 10, 6), 2), 1)
150	59	('+', ('*', 6, 10), ('-', 1, 2))
151	59	('+', ('*', 10, 6), ('-', 1, 2))
152	58	('/', ('-', ('*', 6, 10), 2), 1)
153	58	('/', ('-', ('*', 10, 6), 2), 1)
154	58	('-', ('/', 6, ('/', 1, 10)), 2)
155	58	('-', ('/', 10, ('/', 1, 6)), 2)
156	58	('-', ('/', ('*', 6, 10), 1), 2)
157	58	('-', ('/', ('*', 10, 6), 1), 2)
158	58	('-', ('*', 6, 10), ('/', 2, 1))
159	58	('-', ('*', 6, 10), ('*', 2, 1))
160	58	('-', ('*', 6, 10), ('*', 1, 2))
161	58	('-', ('*', 6, ('/', 10, 1)), 2)
162	58	('-', ('*', 6, ('*', 10, 1)), 2)
163	58	('-', ('*', 6, ('*', 1, 10)), 2)
164	58	('-', ('*', 10, 6), ('/', 2, 1))
165	58	('-', ('*', 10, 6), ('*', 2, 1))
166	58	('-', ('*', 10, 6), ('*', 1, 2))
167	58	('-', ('*', 10, ('/', 6, 1)), 2)
168	58	('-', ('*', 10, ('*', 6, 1)), 2)
169	58	('-', ('*', 10, ('*', 1, 6)), 2)
170	58	('-', ('*', 1, ('*', 6, 10)), 2)
171	58	('-', ('*', 1, ('*', 10, 6)), 2)
172	58	('-', ('*', ('/', 6, 1), 10), 2)
173	58	('-', ('*', ('/', 10, 1), 6), 2)
174	58	('-', ('*', ('*', 6, 10), 1), 2)
175	58	('-', ('*', ('*', 6, 1), 10), 2)
176	58	('-', ('*', ('*', 10, 6), 1), 2)
177	58	('-', ('*', ('*', 10, 1), 6), 2)
178	58	('-', ('*', ('*', 1, 6), 10), 2)
179	58	('-', ('*', ('*', 1, 10), 6), 2)
180	58	('*', 1, ('-', ('*', 6, 10), 2))
181	58	('*', 1, ('-', ('*', 10, 6), 2))
