	value	expression
492	32	('*', ('*', 1, 2), ('+', 6, 10))
493	32	('*', ('*', 1, 2), ('+', 10, 6))
494	32	('*', ('*', 1, ('+', 6, 10)), 2)
495	32	('*', ('*', 1, ('+', 10, 6)), 2)
496	32	('*', ('*', ('+', 6, 10), 2), 1)
497	32	('*', ('*', ('+', 6, 10), 1), 2)
498	32	('*', ('*', ('+', 10, 6), 2), 1)
499	32	('*', ('*', ('+', 10, 6), 1), 2)
500	31	('-', ('*', 2, ('+', 6, 10)), 1)
501	31	('-', ('*', 2, ('+', 10, 6)), 1)
502	31	('-', ('*', ('+', 6, 10), 2), 1)
503	31	('-', ('*', ('+', 10, 6), 2), 1)
504	31	('+', 1, ('/', 6, ('/', 2, 10)))
505	31	('+', 1, ('/', 10, ('/', 2, 6)))
506	31	('+', 1, ('/', ('*', 6, 10), 2))
507	31	('+', 1, ('/', ('*', 10, 6), 2))
508	31	('+', 1, ('*', 6, ('/', 10, 2)))
509	31	('+', 1, ('*', 10, ('/', 6, 2)))
510	31	('+', 1, ('*', ('/', 6, 2), 10))
511	31	('+', 1, ('*', ('/', 10, 2), 6))
512	31	('+', ('/', 6, ('/', 2, 10)), 1)
513	31	('+', ('/', 10, ('/', 2, 6)), 1)
514	31	('+', ('/', ('*', 6, 10), 2), 1)
515	31	('+', ('/', ('*', 10, 6), 2), 1)
516	31	('+', ('*', 6, ('/', 10, 2)), 1)
517	31	('+', ('*', 10, ('/', 6, 2)), 1)
518	31	('+', ('*', ('/', 6, 2), 10), 1)
519	31	('+', ('*', ('/', 10, 2), 6), 1)
520	30	('/', 6, ('/', 2, ('/', 10, 1)))
521	30	('/', 6, ('/', 2, ('*', 10, 1)))
522	30	('/', 6, ('/', 2, ('*', 1, 10)))
523	30	('/', 6, ('/', 1, ('/', 10, 2)))
524	30	('/', 6, ('/', ('/', 2, 10), 1))
525	30	('/', 6, ('/', ('/', 2, 1), 10))
526	30	('/', 6, ('/', ('*', 2, 1), 10))
527	30	('/', 6, ('/', ('*', 1, 2), 10))
528	30	('/', 6, ('*', 2, ('/', 1, 10)))
529	30	('/', 6, ('*', 1, ('/', 2, 10)))
530	30	('/', 6, ('*', ('/', 2, 10), 1))
531	30	('/', 6, ('*', ('/', 1, 10), 2))
532	30	('/', 10, ('/', 2, ('/', 6, 1)))
533	30	('/', 10, ('/', 2, ('*', 6, 1)))
534	30	('/', 10, ('/', 2, ('*', 1, 6)))
535	30	('/', 10, ('/', 1, ('/', 6, 2)))
536	30	('/', 10, ('/', ('/', 2, 6), 1))
537	30	('/', 10, ('/', ('/', 2, 1), 6))
538	30	('/', 10, ('/', ('*', 2, 1), 6))
539	30	('/', 10, ('/', ('*', 1, 2), 6))
540	30	('/', 10, ('*', 2, ('/', 1, 6)))
541	30	('/', 10, ('*', 1, ('/', 2, 6)))
542	30	('/', 10, ('*', ('/', 2, 6), 1))
543	30	('/', 10, ('*', ('/', 1, 6), 2))
544	30	('/', 1, ('/', 2, ('*', 6, 10)))
545	30	('/', 1, ('/', 2, ('*', 10, 6)))
546	30	('/', 1, ('/', ('/', 2, 6), 10))
547	30	('/', 1, ('/', ('/', 2, 10), 6))
548	30	('/', ('/', 6, 2), ('/', 1, 10))
549	30	('/', ('/', 6, 1), ('/', 2, 10))
550	30	('/', ('/', 6, ('/', 2, 10)), 1)
551	30	('/', ('/', 6, ('/', 1, 10)), 2)
552	30	('/', ('/', 10, 2), ('/', 1, 6))
553	30	('/', ('/', 10, 1), ('/', 2, 6))
554	30	('/', ('/', 10, ('/', 2, 6)), 1)
555	30	('/', ('/', 10, ('/', 1, 6)), 2)
556	30	('/', ('/', ('*', 6, 10), 2), 1)
557	30	('/', ('/', ('*', 6, 10), 1), 2)
558	30	('/', ('/', ('*', 10, 6), 2), 1)
559	30	('/', ('/', ('*', 10, 6), 1), 2)
560	30	('/', ('*', 6, 10), ('/', 2, 1))
561	30	('/', ('*', 6, 10), ('*', 2, 1))
562	30	('/', ('*', 6, 10), ('*', 1, 2))
563	30	('/', ('*', 6, 1), ('/', 2, 10))
564	30	('/', ('*', 6, ('/', 10, 2)), 1)
565	30	('/', ('*', 6, ('/', 10, 1)), 2)
566	30	('/', ('*', 6, ('*', 10, 1)), 2)
567	30	('/', ('*', 6, ('*', 1, 10)), 2)
568	30	('/', ('*', 10, 6), ('/', 2, 1))
569	30	('/', ('*', 10, 6), ('*', 2, 1))
570	30	('/', ('*', 10, 6), ('*', 1, 2))
571	30	('/', ('*', 10, 1), ('/', 2, 6))
572	30	('/', ('*', 10, ('/', 6, 2)), 1)
573	30	('/', ('*', 10, ('/', 6, 1)), 2)
574	30	('/', ('*', 10, ('*', 6, 1)), 2)
575	30	('/', ('*', 10, ('*', 1, 6)), 2)
576	30	('/', ('*', 1, 6), ('/', 2, 10))
577	30	('/', ('*', 1, 10), ('/', 2, 6))
578	30	('/', ('*', 1, ('*', 6, 10)), 2)
579	30	('/', ('*', 1, ('*', 10, 6)), 2)
580	30	('/', ('*', ('/', 6, 2), 10), 1)
581	30	('/', ('*', ('/', 6, 1), 10), 2)
582	30	('/', ('*', ('/', 10, 2), 6), 1)
583	30	('/', ('*', ('/', 10, 1), 6), 2)
584	30	('/', ('*', ('*', 6, 10), 1), 2)
585	30	('/', ('*', ('*', 6, 1), 10), 2)
586	30	('/', ('*', ('*', 10, 6), 1), 2)
587	30	('/', ('*', ('*', 10, 1), 6), 2)
588	30	('/', ('*', ('*', 1, 6), 10), 2)
589	30	('/', ('*', ('*', 1, 10), 6), 2)
590	30	('*', 6, ('/', 10, ('/', 2, 1)))
591	30	('*', 6, ('/', 10, ('*', 2, 1)))
592	30	('*', 6, ('/', 10, ('*', 1, 2)))
593	30	('*', 6, ('/', 1, ('/', 2, 10)))
594	30	('*', 6, ('/', ('/', 10, 2), 1))
595	30	('*', 6, ('/', ('/', 10, 1), 2))
596	30	('*', 6, ('/', ('*', 10, 1), 2))
597	30	('*', 6, ('/', ('*', 1, 10), 2))
598	30	('*', 6, ('*', 10, ('/', 1, 2)))
599	30	('*', 6, ('*', 1, ('/', 10, 2)))
600	30	('*', 6, ('*', ('/', 10, 2), 1))
601	30	('*', 6, ('*', ('/', 1, 2), 10))
602	30	('*', 2, ('-', 6, ('-', 1, 10)))
603	30	('*', 2, ('-', 10, ('-', 1, 6)))
604	30	('*', 2, ('-', ('+', 6, 10), 1))
605	30	('*', 2, ('-', ('+', 10, 6), 1))
606	30	('*', 2, ('+', 6, ('-', 10, 1)))
607	30	('*', 2, ('+', 10, ('-', 6, 1)))
608	30	('*', 2, ('+', ('-', 6, 1), 10))
609	30	('*', 2, ('+', ('-', 10, 1), 6))
610	30	('*', 10, ('/', 6, ('/', 2, 1)))
611	30	('*', 10, ('/', 6, ('*', 2, 1)))
612	30	('*', 10, ('/', 6, ('*', 1, 2)))
613	30	('*', 10, ('/', 1, ('/', 2, 6)))
614	30	('*', 10, ('/', ('/', 6, 2), 1))
615	30	('*', 10, ('/', ('/', 6, 1), 2))
616	30	('*', 10, ('/', ('*', 6, 1), 2))
617	30	('*', 10, ('/', ('*', 1, 6), 2))
618	30	('*', 10, ('-', 6, ('+', 2, 1)))
619	30	('*', 10, ('-', 6, ('+', 1, 2)))
620	30	('*', 10, ('-', ('-', 6, 2), 1))
621	30	('*', 10, ('-', ('-', 6, 1), 2))
622	30	('*', 10, ('*', 6, ('/', 1, 2)))
623	30	('*', 10, ('*', 1, ('/', 6, 2)))
624	30	('*', 10, ('*', ('/', 6, 2), 1))
625	30	('*', 10, ('*', ('/', 1, 2), 6))
626	30	('*', 1, ('/', 6, ('/', 2, 10)))
627	30	('*', 1, ('/', 10, ('/', 2, 6)))
628	30	('*', 1, ('/', ('*', 6, 10), 2))
629	30	('*', 1, ('/', ('*', 10, 6), 2))
630	30	('*', 1, ('*', 6, ('/', 10, 2)))
631	30	('*', 1, ('*', 10, ('/', 6, 2)))
632	30	('*', 1, ('*', ('/', 6, 2), 10))
633	30	('*', 1, ('*', ('/', 10, 2), 6))
634	30	('*', ('/', 6, 2), ('/', 10, 1))
635	30	('*', ('/', 6, 2), ('*', 10, 1))
636	30	('*', ('/', 6, 2), ('*', 1, 10))
637	30	('*', ('/', 6, 1), ('/', 10, 2))
638	30	('*', ('/', 6, ('/', 2, 10)), 1)
639	30	('*', ('/', 6, ('/', 2, 1)), 10)
640	30	('*', ('/', 6, ('*', 2, 1)), 10)
641	30	('*', ('/', 6, ('*', 1, 2)), 10)
642	30	('*', ('/', 10, 2), ('/', 6, 1))
643	30	('*', ('/', 10, 2), ('*', 6, 1))
644	30	('*', ('/', 10, 2), ('*', 1, 6))
645	30	('*', ('/', 10, 1), ('/', 6, 2))
646	30	('*', ('/', 10, ('/', 2, 6)), 1)
647	30	('*', ('/', 10, ('/', 2, 1)), 6)
648	30	('*', ('/', 10, ('*', 2, 1)), 6)
649	30	('*', ('/', 10, ('*', 1, 2)), 6)
650	30	('*', ('/', 1, 2), ('*', 6, 10))
651	30	('*', ('/', 1, 2), ('*', 10, 6))
652	30	('*', ('/', 1, ('/', 2, 6)), 10)
653	30	('*', ('/', 1, ('/', 2, 10)), 6)
654	30	('*', ('/', ('/', 6, 2), 1), 10)
655	30	('*', ('/', ('/', 6, 1), 2), 10)
656	30	('*', ('/', ('/', 10, 2), 1), 6)
657	30	('*', ('/', ('/', 10, 1), 2), 6)
658	30	('*', ('/', ('*', 6, 10), 2), 1)
659	30	('*', ('/', ('*', 6, 1), 2), 10)
660	30	('*', ('/', ('*', 10, 6), 2), 1)
661	30	('*', ('/', ('*', 10, 1), 2), 6)
662	30	('*', ('/', ('*', 1, 6), 2), 10)
663	30	('*', ('/', ('*', 1, 10), 2), 6)
664	30	('*', ('-', 6, ('-', 1, 10)), 2)
665	30	('*', ('-', 6, ('+', 2, 1)), 10)
666	30	('*', ('-', 6, ('+', 1, 2)), 10)
667	30	('*', ('-', 10, ('-', 1, 6)), 2)
668	30	('*', ('-', ('-', 6, 2), 1), 10)
669	30	('*', ('-', ('-', 6, 1), 2), 10)
670	30	('*', ('-', ('+', 6, 10), 1), 2)
671	30	('*', ('-', ('+', 10, 6), 1), 2)
672	30	('*', ('+', 6, ('-', 10, 1)), 2)
673	30	('*', ('+', 10, ('-', 6, 1)), 2)
674	30	('*', ('+', ('-', 6, 1), 10), 2)
675	30	('*', ('+', ('-', 10, 1), 6), 2)
676	30	('*', ('*', 6, 10), ('/', 1, 2))
677	30	('*', ('*', 6, 1), ('/', 10, 2))
678	30	('*', ('*', 6, ('/', 10, 2)), 1)
679	30	('*', ('*', 6, ('/', 1, 2)), 10)
680	30	('*', ('*', 10, 6), ('/', 1, 2))
681	30	('*', ('*', 10, 1), ('/', 6, 2))
682	30	('*', ('*', 10, ('/', 6, 2)), 1)
683	30	('*', ('*', 10, ('/', 1, 2)), 6)
684	30	('*', ('*', 1, 6), ('/', 10, 2))
685	30	('*', ('*', 1, 10), ('/', 6, 2))
686	30	('*', ('*', 1, ('/', 6, 2)), 10)
687	30	('*', ('*', 1, ('/', 10, 2)), 6)
688	30	('*', ('*', ('/', 6, 2), 10), 1)
689	30	('*', ('*', ('/', 6, 2), 1), 10)
690	30	('*', ('*', ('/', 10, 2), 6), 1)
691	30	('*', ('*', ('/', 10, 2), 1), 6)
692	30	('*', ('*', ('/', 1, 2), 6), 10)
693	30	('*', ('*', ('/', 1, 2), 10), 6)
694	29	('-', ('/', 6, ('/', 2, 10)), 1)
695	29	('-', ('/', 10, ('/', 2, 6)), 1)
696	29	('-', ('/', ('*', 6, 10), 2), 1)
697	29	('-', ('/', ('*', 10, 6), 2), 1)
698	29	('-', ('*', 6, ('/', 10, 2)), 1)
699	29	('-', ('*', 10, ('/', 6, 2)), 1)
700	29	('-', ('*', ('/', 6, 2), 10), 1)
701	29	('-', ('*', ('/', 10, 2), 6), 1)
702	28	('+', 6, ('*', 2, ('+', 10, 1)))
703	28	('+', 6, ('*', 2, ('+', 1, 10)))
704	28	('+', 6, ('*', ('+', 10, 1), 2))
705	28	('+', 6, ('*', ('+', 1, 10), 2))
706	28	('+', 10, ('*', 6, ('+', 2, 1)))
707	28	('+', 10, ('*', 6, ('+', 1, 2)))
708	28	('+', 10, ('*', ('+', 2, 1), 6))
709	28	('+', 10, ('*', ('+', 1, 2), 6))
710	28	('+', ('*', 6, ('+', 2, 1)), 10)
711	28	('+', ('*', 6, ('+', 1, 2)), 10)
712	28	('+', ('*', 2, ('+', 10, 1)), 6)
713	28	('+', ('*', 2, ('+', 1, 10)), 6)
714	28	('+', ('*', ('+', 2, 1), 6), 10)
715	28	('+', ('*', ('+', 10, 1), 2), 6)
716	28	('+', ('*', ('+', 1, 2), 6), 10)
717	28	('+', ('*', ('+', 1, 10), 2), 6)
718	27	('/', 6, ('/', 2, ('-', 10, 1)))
719	27	('/', ('-', 10, 1), ('/', 2, 6))
720	27	('/', ('*', 6, ('-', 10, 1)), 2)
721	27	('/', ('*', ('-', 10, 1), 6), 2)
722	27	('+', 6, ('+', 1, ('*', 2, 10)))
723	27	('+', 6, ('+', 1, ('*', 10, 2)))
724	27	('+', 6, ('+', ('*', 2, 10), 1))
725	27	('+', 6, ('+', ('*', 10, 2), 1))
726	27	('+', 1, ('+', 6, ('*', 2, 10)))
727	27	('+', 1, ('+', 6, ('*', 10, 2)))
728	27	('+', 1, ('+', ('*', 2, 10), 6))
729	27	('+', 1, ('+', ('*', 10, 2), 6))
730	27	('+', ('+', 6, 1), ('*', 2, 10))
731	27	('+', ('+', 6, 1), ('*', 10, 2))
732	27	('+', ('+', 6, ('*', 2, 10)), 1)
733	27	('+', ('+', 6, ('*', 10, 2)), 1)
734	27	('+', ('+', 1, 6), ('*', 2, 10))
735	27	('+', ('+', 1, 6), ('*', 10, 2))
736	27	('+', ('+', 1, ('*', 2, 10)), 6)
737	27	('+', ('+', 1, ('*', 10, 2)), 6)
738	27	('+', ('+', ('*', 2, 10), 6), 1)
739	27	('+', ('+', ('*', 2, 10), 1), 6)
740	27	('+', ('+', ('*', 10, 2), 6), 1)
741	27	('+', ('+', ('*', 10, 2), 1), 6)
742	27	('+', ('*', 2, 10), ('+', 6, 1))
743	27	('+', ('*', 2, 10), ('+', 1, 6))
744	27	('+', ('*', 10, 2), ('+', 6, 1))
745	27	('+', ('*', 10, 2), ('+', 1, 6))
746	27	('*', 6, ('/', ('-', 10, 1), 2))
747	27	('*', ('/', 6, 2), ('-', 10, 1))
748	27	('*', ('/', ('-', 10, 1), 2), 6)
749	27	('*', ('-', 10, 1), ('/', 6, 2))
750	26	('/', ('+', 6, ('*', 2, 10)), 1)
751	26	('/', ('+', 6, ('*', 10, 2)), 1)
752	26	('/', ('+', ('*', 2, 10), 6), 1)
753	26	('/', ('+', ('*', 10, 2), 6), 1)
754	26	('+', 6, ('/', 2, ('/', 1, 10)))
755	26	('+', 6, ('/', 10, ('/', 1, 2)))
756	26	('+', 6, ('/', ('*', 2, 10), 1))
757	26	('+', 6, ('/', ('*', 10, 2), 1))
758	26	('+', 6, ('*', 2, ('/', 10, 1)))
759	26	('+', 6, ('*', 2, ('*', 10, 1)))
760	26	('+', 6, ('*', 2, ('*', 1, 10)))
761	26	('+', 6, ('*', 10, ('/', 2, 1)))
762	26	('+', 6, ('*', 10, ('*', 2, 1)))
763	26	('+', 6, ('*', 10, ('*', 1, 2)))
764	26	('+', 6, ('*', 1, ('*', 2, 10)))
765	26	('+', 6, ('*', 1, ('*', 10, 2)))
766	26	('+', 6, ('*', ('/', 2, 1), 10))
767	26	('+', 6, ('*', ('/', 10, 1), 2))
768	26	('+', 6, ('*', ('*', 2, 10), 1))
769	26	('+', 6, ('*', ('*', 2, 1), 10))
770	26	('+', 6, ('*', ('*', 10, 2), 1))
771	26	('+', 6, ('*', ('*', 10, 1), 2))
772	26	('+', 6, ('*', ('*', 1, 2), 10))
773	26	('+', 6, ('*', ('*', 1, 10), 2))
774	26	('+', ('/', 6, 1), ('*', 2, 10))
775	26	('+', ('/', 6, 1), ('*', 10, 2))
776	26	('+', ('/', 2, ('/', 1, 10)), 6)
777	26	('+', ('/', 10, ('/', 1, 2)), 6)
778	26	('+', ('/', ('*', 2, 10), 1), 6)
779	26	('+', ('/', ('*', 10, 2), 1), 6)
780	26	('+', ('*', 6, 1), ('*', 2, 10))
781	26	('+', ('*', 6, 1), ('*', 10, 2))
782	26	('+', ('*', 2, 10), ('/', 6, 1))
783	26	('+', ('*', 2, 10), ('*', 6, 1))
784	26	('+', ('*', 2, 10), ('*', 1, 6))
785	26	('+', ('*', 2, ('/', 10, 1)), 6)
786	26	('+', ('*', 2, ('*', 10, 1)), 6)
787	26	('+', ('*', 2, ('*', 1, 10)), 6)
788	26	('+', ('*', 10, 2), ('/', 6, 1))
789	26	('+', ('*', 10, 2), ('*', 6, 1))
790	26	('+', ('*', 10, 2), ('*', 1, 6))
791	26	('+', ('*', 10, ('/', 2, 1)), 6)
792	26	('+', ('*', 10, ('*', 2, 1)), 6)
793	26	('+', ('*', 10, ('*', 1, 2)), 6)
794	26	('+', ('*', 1, 6), ('*', 2, 10))
795	26	('+', ('*', 1, 6), ('*', 10, 2))
796	26	('+', ('*', 1, ('*', 2, 10)), 6)
797	26	('+', ('*', 1, ('*', 10, 2)), 6)
798	26	('+', ('*', ('/', 2, 1), 10), 6)
799	26	('+', ('*', ('/', 10, 1), 2), 6)
800	26	('+', ('*', ('*', 2, 10), 1), 6)
801	26	('+', ('*', ('*', 2, 1), 10), 6)
802	26	('+', ('*', ('*', 10, 2), 1), 6)
803	26	('+', ('*', ('*', 10, 1), 2), 6)
804	26	('+', ('*', ('*', 1, 2), 10), 6)
805	26	('+', ('*', ('*', 1, 10), 2), 6)
806	26	('*', 1, ('+', 6, ('*', 2, 10)))
807	26	('*', 1, ('+', 6, ('*', 10, 2)))
808	26	('*', 1, ('+', ('*', 2, 10), 6))
809	26	('*', 1, ('+', ('*', 10, 2), 6))
810	26	('*', ('+', 6, ('*', 2, 10)), 1)
811	26	('*', ('+', 6, ('*', 10, 2)), 1)
812	26	('*', ('+', ('*', 2, 10), 6), 1)
813	26	('*', ('+', ('*', 10, 2), 6), 1)
814	25	('/', 10, ('/', 2, ('-', 6, 1)))
815	25	('/', ('-', 6, 1), ('/', 2, 10))
816	25	('/', ('*', 10, ('-', 6, 1)), 2)
817	25	('/', ('*', ('-', 6, 1), 10), 2)
818	25	('-', 6, ('-', 1, ('*', 2, 10)))
819	25	('-', 6, ('-', 1, ('*', 10, 2)))
820	25	('-', ('+', 6, ('*', 2, 10)), 1)
821	25	('-', ('+', 6, ('*', 10, 2)), 1)
822	25	('-', ('+', ('*', 2, 10), 6), 1)
823	25	('-', ('+', ('*', 10, 2), 6), 1)
824	25	('-', ('*', 2, 10), ('-', 1, 6))
825	25	('-', ('*', 10, 2), ('-', 1, 6))
826	25	('+', 6, ('-', ('*', 2, 10), 1))
827	25	('+', 6, ('-', ('*', 10, 2), 1))
828	25	('+', ('-', 6, 1), ('*', 2, 10))
829	25	('+', ('-', 6, 1), ('*', 10, 2))
830	25	('+', ('-', ('*', 2, 10), 1), 6)
831	25	('+', ('-', ('*', 10, 2), 1), 6)
832	25	('+', ('*', 2, 10), ('-', 6, 1))
833	25	('+', ('*', 10, 2), ('-', 6, 1))
834	25	('*', 10, ('/', ('-', 6, 1), 2))
835	25	('*', ('/', 10, 2), ('-', 6, 1))
836	25	('*', ('/', ('-', 6, 1), 2), 10)
837	25	('*', ('-', 6, 1), ('/', 10, 2))
838	24	('-', 6, ('*', 2, ('-', 1, 10)))
839	24	('-', 6, ('*', ('-', 1, 10), 2))
840	24	('-', ('*', 10, ('+', 2, 1)), 6)
841	24	('-', ('*', 10, ('+', 1, 2)), 6)
842	24	('-', ('*', ('+', 2, 1), 10), 6)
843	24	('-', ('*', ('+', 1, 2), 10), 6)
844	24	('+', 6, ('*', 2, ('-', 10, 1)))
845	24	('+', 6, ('*', ('-', 10, 1), 2))
846	24	('+', 10, ('*', 2, ('+', 6, 1)))
847	24	('+', 10, ('*', 2, ('+', 1, 6)))
848	24	('+', 10, ('*', ('+', 6, 1), 2))
849	24	('+', 10, ('*', ('+', 1, 6), 2))
850	24	('+', ('*', 2, ('-', 10, 1)), 6)
851	24	('+', ('*', 2, ('+', 6, 1)), 10)
852	24	('+', ('*', 2, ('+', 1, 6)), 10)
853	24	('+', ('*', ('-', 10, 1), 2), 6)
854	24	('+', ('*', ('+', 6, 1), 2), 10)
855	24	('+', ('*', ('+', 1, 6), 2), 10)
856	24	('*', 6, ('-', ('/', 10, 2), 1))
857	24	('*', ('-', ('/', 10, 2), 1), 6)
858	23	('+', 10, ('+', 1, ('*', 6, 2)))
859	23	('+', 10, ('+', 1, ('*', 2, 6)))
860	23	('+', 10, ('+', ('*', 6, 2), 1))
861	23	('+', 10, ('+', ('*', 2, 6), 1))
862	23	('+', 1, ('+', 10, ('*', 6, 2)))
863	23	('+', 1, ('+', 10, ('*', 2, 6)))
864	23	('+', 1, ('+', ('*', 6, 2), 10))
865	23	('+', 1, ('+', ('*', 2, 6), 10))
866	23	('+', ('+', 10, 1), ('*', 6, 2))
867	23	('+', ('+', 10, 1), ('*', 2, 6))
868	23	('+', ('+', 10, ('*', 6, 2)), 1)
869	23	('+', ('+', 10, ('*', 2, 6)), 1)
870	23	('+', ('+', 1, 10), ('*', 6, 2))
871	23	('+', ('+', 1, 10), ('*', 2, 6))
872	23	('+', ('+', 1, ('*', 6, 2)), 10)
873	23	('+', ('+', 1, ('*', 2, 6)), 10)
874	23	('+', ('+', ('*', 6, 2), 10), 1)
875	23	('+', ('+', ('*', 6, 2), 1), 10)
876	23	('+', ('+', ('*', 2, 6), 10), 1)
877	23	('+', ('+', ('*', 2, 6), 1), 10)
878	23	('+', ('*', 6, 2), ('+', 10, 1))
879	23	('+', ('*', 6, 2), ('+', 1, 10))
880	23	('+', ('*', 2, 6), ('+', 10, 1))
881	23	('+', ('*', 2, 6), ('+', 1, 10))
882	22	('/', ('+', 10, ('*', 6, 2)), 1)
883	22	('/', ('+', 10, ('*', 2, 6)), 1)
884	22	('/', ('+', ('*', 6, 2), 10), 1)
885	22	('/', ('+', ('*', 2, 6), 10), 1)
886	22	('+', 10, ('/', 6, ('/', 1, 2)))
887	22	('+', 10, ('/', 2, ('/', 1, 6)))
888	22	('+', 10, ('/', ('*', 6, 2), 1))
889	22	('+', 10, ('/', ('*', 2, 6), 1))
890	22	('+', 10, ('*', 6, ('/', 2, 1)))
891	22	('+', 10, ('*', 6, ('*', 2, 1)))
892	22	('+', 10, ('*', 6, ('*', 1, 2)))
893	22	('+', 10, ('*', 2, ('/', 6, 1)))
894	22	('+', 10, ('*', 2, ('*', 6, 1)))
895	22	('+', 10, ('*', 2, ('*', 1, 6)))
896	22	('+', 10, ('*', 1, ('*', 6, 2)))
897	22	('+', 10, ('*', 1, ('*', 2, 6)))
898	22	('+', 10, ('*', ('/', 6, 1), 2))
899	22	('+', 10, ('*', ('/', 2, 1), 6))
900	22	('+', 10, ('*', ('*', 6, 2), 1))
901	22	('+', 10, ('*', ('*', 6, 1), 2))
902	22	('+', 10, ('*', ('*', 2, 6), 1))
903	22	('+', 10, ('*', ('*', 2, 1), 6))
904	22	('+', 10, ('*', ('*', 1, 6), 2))
905	22	('+', 10, ('*', ('*', 1, 2), 6))
906	22	('+', ('/', 6, ('/', 1, 2)), 10)
907	22	('+', ('/', 2, ('/', 1, 6)), 10)
908	22	('+', ('/', 10, 1), ('*', 6, 2))
909	22	('+', ('/', 10, 1), ('*', 2, 6))
910	22	('+', ('/', ('*', 6, 2), 1), 10)
911	22	('+', ('/', ('*', 2, 6), 1), 10)
912	22	('+', ('*', 6, 2), ('/', 10, 1))
913	22	('+', ('*', 6, 2), ('*', 10, 1))
914	22	('+', ('*', 6, 2), ('*', 1, 10))
915	22	('+', ('*', 6, ('/', 2, 1)), 10)
916	22	('+', ('*', 6, ('*', 2, 1)), 10)
917	22	('+', ('*', 6, ('*', 1, 2)), 10)
918	22	('+', ('*', 2, 6), ('/', 10, 1))
919	22	('+', ('*', 2, 6), ('*', 10, 1))
920	22	('+', ('*', 2, 6), ('*', 1, 10))
921	22	('+', ('*', 2, ('/', 6, 1)), 10)
922	22	('+', ('*', 2, ('*', 6, 1)), 10)
923	22	('+', ('*', 2, ('*', 1, 6)), 10)
924	22	('+', ('*', 10, 1), ('*', 6, 2))
925	22	('+', ('*', 10, 1), ('*', 2, 6))
926	22	('+', ('*', 1, 10), ('*', 6, 2))
927	22	('+', ('*', 1, 10), ('*', 2, 6))
928	22	('+', ('*', 1, ('*', 6, 2)), 10)
929	22	('+', ('*', 1, ('*', 2, 6)), 10)
930	22	('+', ('*', ('/', 6, 1), 2), 10)
931	22	('+', ('*', ('/', 2, 1), 6), 10)
932	22	('+', ('*', ('*', 6, 2), 1), 10)
933	22	('+', ('*', ('*', 6, 1), 2), 10)
934	22	('+', ('*', ('*', 2, 6), 1), 10)
935	22	('+', ('*', ('*', 2, 1), 6), 10)
936	22	('+', ('*', ('*', 1, 6), 2), 10)
937	22	('+', ('*', ('*', 1, 2), 6), 10)
938	22	('*', 1, ('+', 10, ('*', 6, 2)))
939	22	('*', 1, ('+', 10, ('*', 2, 6)))
940	22	('*', 1, ('+', ('*', 6, 2), 10))
941	22	('*', 1, ('+', ('*', 2, 6), 10))
942	22	('*', ('+', 10, ('*', 6, 2)), 1)
943	22	('*', ('+', 10, ('*', 2, 6)), 1)
944	22	('*', ('+', ('*', 6, 2), 10), 1)
945	22	('*', ('+', ('*', 2, 6), 10), 1)
946	21	('-', 10, ('-', 1, ('*', 6, 2)))
947	21	('-', 10, ('-', 1, ('*', 2, 6)))
948	21	('-', ('+', 10, ('*', 6, 2)), 1)
949	21	('-', ('+', 10, ('*', 2, 6)), 1)
950	21	('-', ('+', ('*', 6, 2), 10), 1)
951	21	('-', ('+', ('*', 2, 6), 10), 1)
952	21	('-', ('*', 6, 2), ('-', 1, 10))
953	21	('-', ('*', 2, 6), ('-', 1, 10))
954	21	('+', 10, ('-', ('*', 6, 2), 1))
955	21	('+', 10, ('-', ('*', 2, 6), 1))
956	21	('+', ('-', 10, 1), ('*', 6, 2))
957	21	('+', ('-', 10, 1), ('*', 2, 6))
958	21	('+', ('-', ('*', 6, 2), 1), 10)
959	21	('+', ('-', ('*', 2, 6), 1), 10)
960	21	('+', ('*', 6, 2), ('-', 10, 1))
961	21	('+', ('*', 2, 6), ('-', 10, 1))
962	20	('/', 6, ('/', ('+', 2, 1), 10))
963	20	('/', 6, ('/', ('+', 1, 2), 10))
964	20	('/', 10, ('/', ('+', 2, 1), 6))
965	20	('/', 10, ('/', ('+', 1, 2), 6))
966	20	('/', ('*', 6, 10), ('+', 2, 1))
967	20	('/', ('*', 6, 10), ('+', 1, 2))
968	20	('/', ('*', 10, 6), ('+', 2, 1))
969	20	('/', ('*', 10, 6), ('+', 1, 2))
970	20	('-', 10, ('*', 2, ('-', 1, 6)))
971	20	('-', 10, ('*', ('-', 1, 6), 2))
972	20	('+', 10, ('*', 2, ('-', 6, 1)))
973	20	('+', 10, ('*', ('-', 6, 1), 2))
974	20	('+', ('*', 2, ('-', 6, 1)), 10)
975	20	('+', ('*', ('-', 6, 1), 2), 10)
976	20	('*', 6, ('/', 10, ('+', 2, 1)))
977	20	('*', 6, ('/', 10, ('+', 1, 2)))
978	20	('*', 10, ('/', 6, ('+', 2, 1)))
979	20	('*', 10, ('/', 6, ('+', 1, 2)))
980	20	('*', 10, ('-', ('/', 6, 2), 1))
981	20	('*', ('/', 6, ('+', 2, 1)), 10)
982	20	('*', ('/', 6, ('+', 1, 2)), 10)
983	20	('*', ('/', 10, ('+', 2, 1)), 6)
